player_id,full_name
950548,Italo de Jesus Barbosa
349513,Hueglo dos Santos Neris
520456,Wesley Dias Claudino
957874,Rômulo José Cardoso da Cruz
520462,Rômulo da Silva Machado
99667,Diego Ivo Pires
349570,Edilson Alberto Monteiro Sanches Borges
215817,Jean Pablo Mazaro
954744,Kauan Tomé Firmino Silva
676115,Héliton Jorge Tito dos Santos
958598,Robert Renan Alves Barbosa
100009,Alexandre Luiz Reame
349571,Wellington Luís Farias da Silva
33647,Philip Chidi Onyemah
520468,Iago Amaral Borduchi
1219751,Leonardo de Oliveira Jance
33046,Adilson Tavares Varela
33572,Carlos Henrique dos Santos Souza
1219752,Isaque Severino Silva
1219653,Nathan Borges Lembi Carniel
99495,Gilvan Gomes Vieira
100129,Tiago Rafael Freitas Costa
1219750,Kelwin Souza do Nascimento
33706,Luís Carlos Almeida da Cunha
216131,Bruno Pereira Mendes
216118,Eduardo Henrique da Silva
100220,Michael da Conceição Figueiredo
99637,Arthur Henrique Ricciardi Oyama
216827,Jaílton Lourenço da Silva Nascimento
678853,Matheus de Araújo Andrade
959106,Weslley Pinto Batista
520469,Junio Ricardo da Rocha
678376,Luan de Freitas Molarinho Chagas
678439,Mauricio Magalhães Prado
678502,Guilherme Lopes de Almeida
349736,Lukian Araújo de Almeida
520480,Igor Aquino da Silva
33735,Peterson dos Santos Peçanha
1219849,Lucas dos Santos Ferreira
959088,Thiago Beltrame Stallbaum
349581,Miguel Bruno Sousa Pereira
1219753,Davi Melo Nagel
33739,Cristiano Moraes Oliveira
100910,Renan Soares Reuter
349737,Arthur Henrique Peixoto Santos
961046,Matheus Gonçalves Martins
1219848,Igor Teixeira Felisberto
520463,Bruno Gonçalves do Prado
33710,José Vítor Moreira Semedo
33947,Marcio Rafael Ferreira de Souza
217145,Javier Fernández Abruñedo
101253,Adaílton dos Santos da Silva
218119,Matheus Caldeira Vidotto de Oliveira
349820,Luan Leite da Silva
964580,Wesley Vinícius França Lima
100240,Djamal Abdoulaye Mahamat Bindi
349585,Ayrton Lucas Dantas de Medeiros
520665,Valdemir de Oliveira Soares
678991,Ulisses Wilson Jeronymo Rocha
959092,Ronald Cardoso Falkoski
1219852,Guilherme Reis Oliveira
959171,André Dhominique Queiroz Santiago da Silva
520787,Ruan Ribeiro Teles
681494,Marcelo Rodrigues Souza
349856,Francisco Javier Hidalgo Gómez
1219851,Paulo Sérgio Venuto Bezerra
680681,Luiz Henrique Soares Firmino
520662,Eduardo Gabriel Aquino Cossa
